match_id,map_name,stage,circle_x,circle_y,circle_radius,next_circle_x,next_circle_y,next_circle_radius,final_zone
f29cf1997bac3b4f99e09b3de0f132bd,storm_point,1,6543,6393,4894,4116,6926,2407,west
9dbfbc2e2d75eadbc83fa80701c113a1,worlds_edge,1,7146,8965,4825,5137,10377,2367,center
d019544035f51e39b558bbdbb88bc855,storm_point,1,7672,7371,4894,5548,8666,2407,center
0490040a0195613c70453c45f3311ead,worlds_edge,1,7483,11376,4825,9012,13300,2367,south
29ac67175f81030ab7da14886ee5f273,worlds_edge,1,8202,9661,4825,7935,12025,2367,south
76e934c55f9a6636ebeecf3a97782acc,storm_point,1,7224,9276,4894,7134,11760,2407,south
0bcbccd85a75cc725c579c1a5c670103,e_district,1,8846,8121,5036,10459,10116,2470,east
1271727124fac9b12b8af99ffaf42978,worlds_edge,1,7221,7662,4825,8687,5702,2367,north
b811eca785ca500661559bbcacc6bb32,worlds_edge,1,6862,8792,4825,5526,6729,2367,west
85d80ac759a514aa3ca9ea0e890434b4,worlds_edge,1,8271,11528,4825,8271,11528,2887,south
